Experiment,Iteration,Gap,TrainLoss,ValLoss,TestAcc,CommBits,ConsErr
Baseline,50,-0.001139096603393952,2.3008989717102053,2.2997598751068113,12.32,435958400.0,0.004845282332193413
Baseline,100,-0.00114186485290535,2.3014744515228274,2.300332586669922,12.14,871916800.0,0.005930703337696885
Baseline,150,-0.0013221984863283076,2.3018256187438966,2.3005034202575683,15.91,1307875200.0,0.006453883258602555
Baseline,200,-0.0017750454711911168,2.299712376861572,2.297937331390381,15.22,1743833600.0,0.006946742872895917
Baseline,250,-0.001413601150512811,2.2991556009674072,2.2977419998168944,18.91,2179792000.0,0.008512198348997723
Baseline,300,-0.0016999154663084326,2.2977891717529295,2.296089256286621,18.69,2615750400.0,0.007790794575949567
Baseline,350,-0.001982826385498182,2.29789424987793,2.2959114234924316,17.9,3051708800.0,0.007599288166942386
Baseline,400,-0.00266147994995114,2.2966909393310546,2.2940294593811035,14.31,3487667200.0,0.011521563413175995
Baseline,450,-0.0022417352294921145,2.298418341217041,2.296176605987549,15.46,3923625600.0,0.008471427922532004
Baseline,500,-0.0029004187011718585,2.295970097198486,2.2930696784973144,15.66,4359584000.0,0.008618894362959895
Baseline,550,-0.002843734893798633,2.297515291748047,2.294671556854248,13.39,4795542400.0,0.00912178993256767
Baseline,600,-0.0031263397979732765,2.2984717987823484,2.295345458984375,13.86,5231500800.0,0.009153333183391765
Baseline,650,-0.0028700682067870353,2.2990735395812987,2.2962034713745116,14.22,5667459200.0,0.010099530027855842
Baseline,700,-0.003083632583618545,2.2999660613250734,2.296882428741455,14.36,6103417600.0,0.009595282345404132
Baseline,750,-0.0034437145233154887,2.2968338905334473,2.293390176010132,12.77,6539376000.0,0.00955757262861041
