Experiment,Epoch,Iteration,Gap,TrainLoss,ValLoss,TestAcc,CommBits,ConsErr
Baseline,0,50,-0.0012643564605712143,2.2991213781738282,2.297857021713257,13.41,435958400.0,0.0049313467022604526
Baseline,1,100,-0.0012682828521728418,2.301631439743042,2.300363156890869,13.84,871916800.0,0.015586029223637287
Baseline,1,150,-0.0017225756072996035,2.302452117767334,2.3007295421600342,13.39,1307875200.0,0.016328487623143196
Baseline,2,200,-0.002774455642700069,2.299237865447998,2.296463409805298,10.24,1743833600.0,0.028025868698949363
Baseline,3,250,-0.0021306185913085862,2.2993618144226073,2.2972311958312988,9.94,2179792000.0,0.05110884768817416
Baseline,3,300,-0.004396854476928613,2.2867885121154785,2.28239165763855,10.49,2615750400.0,0.04355807643865277
Baseline,4,350,-0.006469557342529519,2.2934339906311036,2.286964433288574,13.79,3051708800.0,0.059324942238944044
Baseline,5,400,-0.00789918373107934,2.2857637871551515,2.277864603424072,10.2,3487667200.0,0.10444974074272136
Baseline,5,450,-0.010258489532470438,2.299077420349121,2.2888189308166504,15.22,3923625600.0,0.07553914479702879
Baseline,6,500,-0.01550338943481444,2.315725811843872,2.3002224224090577,11.41,4359584000.0,0.06999705113408972
Baseline,6,550,-0.02025307403564458,2.3016152795410156,2.281362205505371,16.21,4795542400.0,0.07659138143750362
Baseline,7,600,-0.028244244766235216,2.3193073139190674,2.291063069152832,14.94,5231500800.0,0.07470118024272843
Baseline,8,650,-0.033539544601440596,2.3250722441864013,2.2915326995849608,12.76,5667459200.0,0.07716298677999678
Baseline,8,700,-0.02169627517700201,2.310776972808838,2.289080697631836,11.93,6103417600.0,0.07349924606393703
Baseline,9,750,-0.017697991180419592,2.3079078308105467,2.290209839630127,15.86,6539376000.0,0.07106224286436955
Baseline,10,800,-0.04563733726501473,2.364862374649048,2.319225037384033,12.78,6975334400.0,0.07872523231550463
Baseline,10,850,-0.03522046440124482,2.3652608582305907,2.330040393829346,12.04,7411292800.0,0.07576876873793523
Baseline,11,900,-0.029152324981689404,2.3465122317504883,2.317359906768799,14.88,7847251200.0,0.06841372613808723
Baseline,12,950,-0.02601048797607408,2.33400037979126,2.3079898918151858,14.0,8283209600.0,0.12303367180165772
Baseline,12,1000,-0.06854557373046877,2.5436276652526857,2.475082091522217,11.84,8719168000.0,0.07139200102203117
Baseline,13,1050,-0.023791025543212996,2.33819271774292,2.314401692199707,12.37,9155126400.0,0.06919701272757432
Baseline,13,1100,-0.07605043632507336,2.409249555130005,2.3331991188049317,15.33,9591084800.0,0.06936432119730403
Baseline,14,1150,-0.036145902709960875,2.464145385055542,2.427999482345581,13.21,10027043200.0,0.06891407548603574
Baseline,15,1200,-0.03888500579834009,2.3902836096191407,2.3513986038208006,14.51,10463001600.0,0.07710607333342612
Baseline,15,1250,-0.08205857528686522,2.462633850708008,2.3805752754211427,13.51,10898960000.0,0.0807227971571006
Baseline,16,1300,-0.17484741577148455,2.6964564222717287,2.521609006500244,11.06,11334918400.0,0.07667259719559905
Baseline,17,1350,-0.15289587905883772,2.5942539360809325,2.4413580570220947,12.8,11770876800.0,0.09525118907449474
Baseline,17,1400,-0.15688842971801753,2.7782749562072753,2.6213865264892577,11.81,12206835200.0,0.06914419446250726
Baseline,18,1450,-0.11842162071228035,2.6183433057403565,2.499921685028076,13.22,12642793600.0,0.0702269404010373
Baseline,18,1500,-0.1426197972106933,2.9854242348480224,2.842804437637329,15.23,13078752000.0,0.07060942418577358
Baseline,19,1550,-0.09082229125976582,2.977642409210205,2.8868201179504394,12.57,13514710400.0,0.07165116011367179
Baseline,20,1600,-0.13331691291809067,2.621468126373291,2.4881512134552004,15.13,13950668800.0,0.07155193871077614
Baseline,20,1650,-0.11578903442382815,2.552143878326416,2.436354843902588,13.79,14386627200.0,0.07133611500774464
Baseline,21,1700,-0.14813876152038574,2.559381809616089,2.4112430480957032,16.69,14822585600.0,0.07216504419346706
Baseline,22,1750,-0.09736784828186051,2.6098601959991456,2.512492347717285,11.77,15258544000.0,0.08595261520317746
Baseline,22,1800,-0.11730573486328133,2.6369323168182373,2.519626581954956,12.96,15694502400.0,0.07111757590556814
Baseline,23,1850,-0.23766649559021014,2.993324467544556,2.7556579719543457,12.23,16130460800.0,0.07346062044292037
Baseline,24,1900,-0.08817188583374014,2.7531451097106934,2.6649732238769532,12.28,16566419200.0,0.11860840259388646
Baseline,24,1950,-0.15159713226318328,2.786520803604126,2.6349236713409425,13.19,17002377600.0,0.0731413038560877
Baseline,25,2000,-0.2668560201263426,3.114061782608032,2.8472057624816896,15.23,17438336000.0,0.07072679018703613
Baseline,25,2050,-0.26466526367187493,3.4749263926696776,3.2102611289978027,12.27,17874294400.0,0.07126573744747625
Baseline,26,2100,-0.1602237059783933,2.6318382136535643,2.471614507675171,14.46,18310252800.0,0.07278975607089944
Baseline,27,2150,-0.1143669837188721,2.9374153182220457,2.8230483345031736,13.48,18746211200.0,0.07320644113482278
Baseline,27,2200,0.004886419525146568,3.583842493209839,3.5887289127349855,14.48,19182169600.0,0.08108838012698331
Baseline,28,2250,-0.10342123016357396,2.648211912384033,2.544790682220459,13.89,19618128000.0,0.07386988610084355
Baseline,29,2300,-0.0739266638183591,3.421437856903076,3.347511193084717,10.69,20054086400.0,0.08523330624516472
Baseline,29,2350,-0.29353995422363255,4.3615382650756835,4.067998310852051,12.34,20490044800.0,0.07534699979405186
Baseline,30,2400,-0.3001525357055663,3.9530701123046876,3.6529175765991213,10.34,20926003200.0,0.0738882697574054
Baseline,31,2450,-0.18984922264099113,3.6111749382781984,3.421325715637207,13.89,21361961600.0,0.11233116110260752
Baseline,31,2500,-0.3785400482940675,3.871735177307129,3.4931951290130616,10.4,21797920000.0,0.07424043110154824
Baseline,32,2550,-0.16994356750488304,3.117073506011963,2.94712993850708,12.57,22233878400.0,0.07809017114296797
Baseline,32,2600,-0.3466303156280519,3.880437393035889,3.533807077407837,10.97,22669836800.0,0.07824182885132114
Baseline,33,2650,-0.5910256912231446,4.403390523529053,3.8123648323059083,12.62,23105795200.0,0.07137469702098631
Baseline,34,2700,-0.37238538665771515,6.025988520812988,5.653603134155273,11.49,23541753600.0,0.07377779932412505
Baseline,34,2750,-0.6392574125671384,6.314969647064209,5.6757122344970705,10.35,23977712000.0,0.069181960847291
Baseline,35,2800,-0.30873193435668966,5.1792380905151365,4.870506156158447,10.37,24413670400.0,0.07526538248773953
Baseline,36,2850,-0.6150599118041988,4.772396608428955,4.157336696624756,11.21,24849628800.0,0.09806614192942309
Baseline,36,2900,-0.5140089724731443,5.748228879089355,5.234219906616211,10.18,25285587200.0,0.07608119572144627
Baseline,37,2950,-1.1734955847167967,6.974191847839355,5.800696263122559,9.79,25721545600.0,0.07263314165649301
Baseline,37,3000,-0.572327636566162,4.704697574462891,4.132369937896729,11.34,26157504000.0,0.07541926835374521
Baseline,38,3050,-0.48210618820190376,4.986038848114013,4.50393265991211,11.56,26593462400.0,0.07488305758300662
Baseline,39,3100,-0.3351182014465337,6.35448833770752,6.019370136260986,11.4,27029420800.0,0.07405667851169309
Baseline,39,3150,-0.4411350570678714,4.495576867675782,4.05444181060791,10.14,27465379200.0,0.07613646079777378
Baseline,40,3200,-0.286626277313232,4.658420552215576,4.371794274902344,13.07,27901337600.0,0.0790735416321727
Baseline,41,3250,-0.9362665383911128,6.368565107116699,5.432298568725586,11.28,28337296000.0,0.08828005541377149
Baseline,41,3300,-0.347284754180909,5.3357255691528325,4.9884408149719235,11.19,28773254400.0,0.06816107784400671
Baseline,42,3350,-0.21718117759704558,3.7967532593536375,3.579572081756592,14.76,29209212800.0,0.07246464405661275
Baseline,43,3400,-0.5495085488891602,5.102574292907715,4.5530657440185545,11.68,29645171200.0,0.11799484837294046
Baseline,43,3450,-0.38124907730102553,5.484312173919678,5.103063096618652,11.7,30081129600.0,0.07744607354354524
Baseline,44,3500,0.027668023376465456,4.871388586730957,4.899056610107422,10.7,30517088000.0,0.06921736461050951
Baseline,44,3550,-0.19967759155273423,4.783809657897949,4.584132066345215,13.4,30953046400.0,0.08362364715170453
Baseline,45,3600,-0.10275732666015625,4.821858518371582,4.719101191711426,10.51,31389004800.0,0.0727225693661051
Baseline,46,3650,-0.31521417297363286,4.47758446105957,4.1623702880859375,13.92,31824963200.0,0.07065632273394354
Baseline,46,3700,-0.34567724662780774,3.509214875564575,3.1635376289367674,11.12,32260921600.0,0.08149816901411011
Baseline,47,3750,-0.4925226608276363,4.545224188232422,4.0527015274047855,12.57,32696880000.0,0.07123741319636512
Baseline,48,3800,-0.5458487925720217,4.536121187896729,3.9902723953247072,12.66,33132838400.0,0.09953239794402684
Baseline,48,3850,-0.3687452703857419,4.4648088743591305,4.096063603973389,14.08,33568796800.0,0.0730120942216315
Baseline,49,3900,-0.46491495742797895,4.877986550140381,4.413071592712402,12.26,34004755200.0,0.07558937407037228
Baseline,49,3950,-0.203735782165527,4.537505810852051,4.333770028686524,11.77,34440713600.0,0.09270059327452422
